Dark Angels;350
Guns n' Roses;342
SexyPistols;153
Astoria Troy Walbrzych;102
Siara Team;92
Wilki Walbrzych;87
BMW Jelenia Gora;77
Tlenkobary;51
Jasiek Der Club;45
FC Łolaboga;40
Bielany Orthalions;40
LZS Ciepielowice;35
FC Weniniacy;35
Hacksaws;35
Ivory Bydgoszcz;35
Chemik Kędzierzyn-Koźle;26
Mdex Team;21
FAJTLAPY;20
Powolni Tarczyn;17
Brianza Team;16
Txuario;15
Caledonian;14
US ATLETICA VEDANO;13
Elan Demars;13
Ste-Gemmes;13
KS Miszcze;12
Weymouth Bay Sharks;12
Squadra Rossa;10
Slizgacze;10
TLA Tomic Tychy;8
LG Potsdam;8
Lyon AC;8
Latino Sulechow;8
LKS Kaliska;8
Angers club;8
Munich Running Club;7
Bourg D'Oisans runners;7
Tauhorse;7
4PINI;6
Pietro's Athletes;6
Mallen IF;6
AV Parthenon;6
Bumble Bees AC;5
Diavoli Rossi;5
av Passaat;5
AC Katowice;5
GREEN ROCHAS;4
Domstad Athletics;4
dojna;4
TSV Verne 08/15;4
MKS Polonia Przemyśl;3
ASTRAPI;3
AZSUMCS Lublin;2
Huragan Bialobrzegi;2
ZKS;1
Ouro;1
