Dark Angels;808116
Guns n' Roses;783974
SexyPistols;379050
Wilki Walbrzych;296304
LZS Ciepielowice;232989
Astoria Troy Walbrzych;229321
Jasiek Der Club;221629
Siara Team;213832
BMW Jelenia Gora;188140
LKS Toruń;177883
FC Weniniacy;149707
Chemik Kędzierzyn-Koźle;140569
KKS Lech Poznan;126096
Tlenkobary;122458
Slizgacze;117945
ZKS;117115
FC Łolaboga;101647
Ivory Bydgoszcz;96103
Bielany Orthalions;91927
TLA Tomic Tychy;86552
Hacksaws;86459
Mdex Team;80482
FAJTLAPY;80399
Brianza Team;50000
Powolni Tarczyn;44581
MKS Polonia Przemyśl;34613
US ATLETICA VEDANO;32813
Caledonian;31250
Txuario;30506
Elan Demars;26042
Ste-Gemmes;26042
LG Potsdam;25000
Lyon AC;25000
Latino Sulechow;25000
LKS Kaliska;25000
Angers club;25000
Weymouth Bay Sharks;23438
KS Miszcze;20834
Squadra Rossa;20833
Munich Running Club;15625
Bourg D'Oisans runners;15625
Tauhorse;15625
4PINI;10417
Pietro's Athletes;10417
Mallen IF;10417
AV Parthenon;10417
dojna;9114
Bumble Bees AC;7813
Diavoli Rossi;7813
av Passaat;7813
AC Katowice;7813
Ouro;7378
GREEN ROCHAS;6250
Domstad Athletics;6250
TSV Verne 08/15;6250
ASTRAPI;5208
AZSUMCS Lublin;4464
Huragan Bialobrzegi;4464
Bobrzanie Bolesławiec;2604
