Quantum TC;1129314
Goose Hollow RC;1029785
Guanacos;854735
Blue Ridge Express Running Club;715573
June Poe TC;583248
West Lakes TC;533858
Prairie State Track Club;398587
L-Dot Athletics;345228
Auto Esporte Clube;342839
The Hills;336036
Haize Gorria;281395
Cows Track Club;244407
Verrazano TC;240904
Nextnet US;233607
Seacoast Cruisers;225639
NorCal Track Club;211445
Connecticut Racing Club;207971
Titans;207080
BA Athletic Club;205963
US ATLETICA VEDANO;204796
AV Parthenon;188734
Lyon AC;184049
Asspera;174887
Ste-Gemmes;172098
Happy Human Track Club;170982
Ohio Elite TC;170791
Weymouth Bay Sharks;162187
United States Naval Academy;150789
Akitas;146642
GatPact;140547
Atletismo Lima;122331
4PINI;108421
Kenya Runners;102123
AC Heemserbos;99187
GREEN ROCHAS;94695
ODZ Grabów;93068
Achilles-Top2;69568
Gazi Athletics;69095
Low Country TC;68713
Caledonian;66706
Titan Track Club;64632
AC Bert;64621
Squadra Rossa;64250
Robur Bomber;64250
Lupus in fabula Track & Field;64250
Ivory Bydgoszcz;63915
Sants 2.0;60234
Academia Athens;59466
Talentschmiede;59358
Angel Team;59343
Bourg D'Oisans runners;55215
Lucayan Athletics Club;52927
LG Potsdam;52873
Atletica Virtuosi Portici;42988
STV Silberklinge;42834
Drekaflugan;42833
Brianza Team;40156
ATLETICA MARCONI;40156
Citius-Altius-Fortius;40156
Qubass Squad;36678
Angers club;35626
Armando Esteban Quito;35389
Txuario;34802
Munich Running Club;34072
Indomables;34072
Lucchirpool;33463
Quemerford Harriers;33463
dojna;33018
Batafieu Olympique;32174
SomeTeam;31148
Dawson City Aurora;30042
The Originals;29011
Kingstonians;28813
Tlenkobary;28540
UltraRun;27518
BMW Jelenia Gora;26771
AC Notor;26771
ASV Salia-Giants;26256
Brasília Athletics;26102
Great Divide AC;25433
La isla bonita;23966
Club Atletisme Barcelona;23847
Mallen IF;22910
Kootenay Grizzlies;22755
Iendracht Oilsjt;22564
Vulcano Athletic;22396
Saskatoon TFC;22360
Hamburg meine Perle;21437
EDESSA CITY;20500
Flying Cats;20078
Aspiring Athletes;20078
Churchfield Chics;19348
ASTRAPI;19229
ULA Arlon;19122
ASS. ATL. REGGIO C.;19014
Pottlandteam;18671
CA París;17847
Bergamo Atletica;16111
L'etoile;16063
Atletica Petricci;16063
Runyan Lake Blue Racers;16063
Wacky Racers;15644
_Lviv_;15617
Esperanto CA;15332
Centauros Villavo;14540
santacecilia;14209
CUS TORINO;13944
The Knicks;13479
AC MegaSpike;13385
De snelle rakkers;13385
Donetsk Athletic;13385
Porto;13385
Napoli;13385
Artense;13151
Lominiric AC;12321
Atletica Rinella;11915
Egara Gold;11528
Cassiar Co Op Club;11474
GF Running;11473
Biohazard;11473
Mountaineers;10902
comedians;10078
Baetulo Athletarum;10040
CDUP;10039
Rhombicosidodecahedron;9482
Tauhorse;9036
Ghostrunners;8951
kampioenen;8924
Sin Prisa;8243
Falcon Athletics;8032
AC Katowice;8031
Chios Track Club;7301
Atletica Rogenese;6693
BMC Praha;6693
ACADEMY;6693
Touf'Club;6693
Gargiullo;6178
Pietro's Athletes;6178
Ferencvárosi Torna Club;6178
Pugliese;6178
Clockies;6178
Ukon Vasara;6178
FC eversel;5737
Crusaders;5737
av Passaat;5737
AC Moribundus;5737
PenzaRunner;5737
fokikos;5737
RUN FOR FREEDOM;5354
Reading Palm Faces;5354
WAVT;5354
Freemen;5354
FantaPetaz;5354
ATLETISMO CASTELLONENSE;5354
Ermis;5020
LAC Nordlord;5020
Alkantara;4724
Großenhainer LV 07;4724
Gravel Team;4724
Canyadó Atletisme;4462
Jibiri Resurrection;4462
Team Gecko;4462
Ouro;4462
Los Pitufos;4462
APOLLON;4227
Les chats mous;4227
AC Bohemians Tymákov;4227
Coureurs de Bois;4227
Hippies;4227
Torpedo Barbarossa;4227
Dalmaria Athletics;4016
