Stars;131
TUS Gold;111
Siara Team;92
Tokyo Racers;92
ASD CorriCorri;89
AC Norteños;60
Macarthur Rams;60
Mediummen;46
De snelle rakkers;45
P.B.P.;42
SG Endschuetz;42
Hong Kong AC;41
luckybastards;40
Monty Python;38
C N Poblenou;27
Team Adriatico;26
Dan Kolov 2018;26
Tempe Track Club;25
Louvorever;24
LessoPearà;23
Besaid Aurochs AT;22
Voltrese;20
Txapeldunas;19
Zoontjens Squad;18
Jambonese;18
AC Young Stars;18
Micione;17
Inter Rostock;17
Gunners;17
AC MegaSpike;16
Zadar United;16
St. Pauli Pirates;16
C. A. Sendoa;15
Piovese;14
AE Badalonès;14
Atletismo Prestige;14
Aspiring Athletes;14
Churchfield Chics;13
Team Sabba;12
Hobart Fliers;12
AV Chaos;12
Torpedo Barbarossa;12
A.O. Poros;11
les gothiques;11
chiavarese;11
trionfoligure;11
BMC Praha;10
LC_Pokémon;9
olympiakos rebels;9
PokerTeam;8
Atletica Tamriel;8
ErCobra's Athletics Team;8
Titan Track Club;8
kolimvites;8
Irvines AC;8
Canyadó Atletisme;7
Atletica sport Legnaro;7
C.A.Ederki;7
AV Parthenon;7
Ath.Pucelana;7
(F)egyház;7
Desportivo Evolução;7
Baetulo Athletarum;7
C.A Rastis;6
laurezque;6
Ragnar;6
Academia Athens;5
SC Olympia Lorsch 1907;5
MEIMOA TEAM;5
Bielany Orthalions;5
PoLLiCe VeRDe;5
LAC Nordlord;5
White Star;5
Highfield;5
pgss;4
Angel Team;4
Astoria Troy Walbrzych;4
The Originals;4
Athletic Auringis;4
Mile High Racers;3
Kalju Athletes;3
Gazi Athletics;3
Ivory Bydgoszcz;3
Poststrutturalista Fallito;2
olumpionikes peristeriou;2
Chungking Express;2
JáToNeumím;2
Prairie State Track Club;2
Bruz Athletic Team;2
AC De Spirlamis;2
cuchifrito´s brown;1
Ballyfin;1
Midwest Lakes TC;1
Άρις Μεσσηνίας;1
PenzaRunner;1
