US ATLETICA VEDANO;672649
Anannasavanna Team;448794
Brianza Team;417553
Rotten Athletic;411353
Atletica Virtuosi Portici;398054
ASS. ATL. REGGIO C.;387992
Atletica Corti e Veloci;247113
ATHENA Nike;211787
comedians;172096
ATLETICA MARCONI;166882
San Benedetto dei Marsi;161805
UPOL GAVIRATE;153908
graviteu;144519
Napoli;142478
Fortitudo Vercelli;106016
LG Potsdam;103750
Atletica Rinella;103106
Mikele;102411
Catwalk;99844
Polisportiva Casarosa;96202
Lupus in fabula Track & Field;93851
The Hunters;87538
Atletica Buscate;87197
S.A.S;85808
Angers club;78750
Atletica Basilichese;75430
Atletica Lussi;68808
CDUP;67500
Poststrutturalista Fallito;66652
Atletica Vulture;65163
Piovese;60428
Panormus;60019
baboom;58384
AV Parthenon;58125
Red Panda;57503
Tauhorse;55002
Polska Love;54092
Lucchirpool;53162
Abracalabria;53058
Robur Bomber;43608
Atletica Certosa;42885
Atletica Buonappetito;42500
Zorros Run;40982
Atletica Borgo;40974
Ovidiana Sulmona;40597
Killhope Athletics;37500
Gargiullo;36038
Giovani lepri;35456
Viking;34538
Sin Prisa;33257
Atletica Iomla;33022
Bib team;31393
DEDS;30000
Kingstonians;30000
Haize Gorria;30000
Running Zaragoza;30000
Wizkids;29375
Voltrese;29249
Monteverde Runners;27010
Phantasia A.C.;26373
ErCobra's Athletics Team;24108
Virtus Garibellini Siena;23670
g.s. Artiglio Athletics;23416
MaDema;23271
Pro voyeurs;23249
Athletics Professional Team;22413
GS Indomita;22262
Deportivo Diez de Febrero;20956
I biancoverdi;18750
Sisxense Runners;18750
Atletica Rogenese;18382
Molfetta Warriors;18113
Franky Family Reborn;13223
Sants 2.0;12500
Scatoleria Val di Peppa;12301
Scussaseatletica;12048
PoLLiCe VeRDe;11786
TS Warriors;11434
Atletica Petricci;10711
Atletica Fagionegliese;9811
nonno bandi track & field;9558
Calabria;9375
Atletica Tre Colli Scicli;8607
Atletica PaolinoMagoRegiOli;8183
Micione;7869
Gold Fires Athletics Team;7708
santacecilia;7500
Daisy Gardens;7500
Pugliese;7500
SAV;7338
LessoPearà;7015
ATLETISMO CASTELLONENSE;6250
Guanacos;6250
Atletica Chiesina;6250
Slizgacze;6250
Germinal;5860
Taz Ciclone Atletica;5091
green power 2.0;4688
Sovereign;4121
Hippies;3750
Gravel Team;3750
ESTIQAADZI;3410
Gatti Neri;3410
Federica;3268
Il Pirata;3193
De Aritio Atletica;2969
P.B.P.;2969
CUS TORINO;2885
Club Atletismo Moli;2206
4PINI;1974
ForzaToro;1875
Sprinterteam;1786
Faenza Mud T&F;1630
A.S. Murika;1563
Giulianone Roma;1389
Olona Athletic;1389
Atletica Alessandria;1339
Atletica Murcielago;1293
