Brianza Team;166
ASS. ATL. REGGIO C.;157
US ATLETICA VEDANO;154
Lupus in fabula Track & Field;146
Rotten Athletic;139
nonno bandi track & field;122
Taz Ciclone Atletica;95
comedians;92
Anannasavanna Team;75
Atletica Corti e Veloci;64
Napoli;38
Poststrutturalista Fallito;37
Torpedo Barbarossa;36
The Hunters;35
4PINI;33
Lucchirpool;32
Robur Bomber;31
graviteu;27
Atletica Chiesina;27
CUS TORINO;27
ATHENA Nike;25
Mikele;25
ATLETICA MARCONI;23
Red Panda;22
baboom;18
I biancoverdi;18
Atletica Basilichese;15
Artica;14
San Benedetto dei Marsi;14
UPOL GAVIRATE;13
Hacksaws;13
Rayuela;10
Gargiullo;10
ErCobra's Athletics Team;9
Lyon AC;9
Atletica Virtuosi Portici;8
Kingstonians;8
santacecilia;8
Diavoli Rossi;7
DEDS;7
Boston Bandits;6
GS Indomita;6
Atletica Alessandria;5
Goose Hollow RC;5
Giovani lepri;4
Porto;4
Piovese;4
Fortitudo Vercelli;3
Virtus Garibellini Siena;3
The Coach Team;3
Atletica Brugnera;3
Polisportiva Casarosa;2
Atletic Ovni;2
PoLLiCe VeRDe;2
S.A.S;2
ICA;2
FantaPetaz;2
Atletica Rogenese;2
Gold Fires Athletics Team;1
Micione;1
Tauhorse;1
