Brianza Team;220
Lupus in fabula Track & Field;210
Rotten Athletic;209
US ATLETICA VEDANO;206
4PINI;124
Atletica Corti e Veloci;109
Anannasavanna Team;87
Lucchirpool;53
Torpedo Barbarossa;41
Poststrutturalista Fallito;35
AV Parthenon;35
The Hunters;34
Taz Ciclone Atletica;33
I biancoverdi;31
CUS TORINO;27
Robur Bomber;26
Napoli;24
comedians;21
graviteu;21
ASS. ATL. REGGIO C.;21
Gargiullo;21
nonno bandi track & field;19
PoLLiCe VeRDe;18
Mikele;16
ATHENA Nike;14
Atletica Alessandria;14
Red Panda;13
Mecha Dorada;13
UPOL GAVIRATE;13
Atletico Babillo;10
Rum&sigari;10
Mallen IF;10
Atletic Ovni;9
Hacksaws;8
Lyon AC;8
Kenya Runners;8
baboom;7
Artica;6
ATLETICA MARCONI;6
Giovani lepri;6
Angers club;6
Atletica Virtuosi Portici;5
Weymouth Bay Sharks;5
Monteverde Runners;5
Atletica Basilichese;5
Sants 2.0;5
Atletica Buonappetito;5
Fortitudo Vercelli;4
ErCobra's Athletics Team;4
Atletica Chiesina;4
Killhope Athletics;4
Piovese;3
S.A.S;3
Atletica Borgo;3
Tauhorse;3
Bergamo Atletica;2
FantaPetaz;2
CDUP;2
Al Malik Arresh;1
Micione;1
San Benedetto dei Marsi;1
Atletica Buscate;1
Panormus;1
Txuario;1
