Sants 2.0;1266309
CAIM;556094
Deus Sive Natura;445362
Corredores Populares;384746
Janelas Athletic;296666
Runners 4life;290843
FBI;208292
Los Pitufos;199778
GUSIMEDIA ATLETISMO CLUB;195595
C.A.GANDIA;171310
Olimpia Bilbao;140583
Ortiz de Zuñiga;138073
Atletismo Sanse 2021;134598
turigtians;127075
Mecha Dorada;122948
boktorense;118508
AtleChana;116772
Atletismo Prestige;112351
Almería Athletics;112088
Indomables;96323
Zorros Run;88544
Cul club;73432
Ath.Pucelana;68644
Aguila Atletismo;65827
CA Mieres Del Camín;65425
impossible is nothing;63671
Gernika Horobetz;63242
US ATLETICA VEDANO;62500
LEONARD ATLETISMO;61891
C N Poblenou;61534
maml AC;60058
LOS MANTAS;60000
ATLETISMO CASTELLONENSE;59289
Club Atletismo Huelva;54569
Lyon AC;50357
Robur Bomber;48750
Labaro;48750
CLUB ATHLETIC COMBARRO;43845
Club Atletisme Barcelona;43274
Esperanto CA;42675
Club de Atletismo Los Castaños;39665
laurezque;38389
C.A.Ederki;34254
C.D Atletico Bañezano;31562
Lupus in fabula Track & Field;31250
Distrito 12;30790
Squadra Rossa;30000
Brianza Team;30000
Txuario;29108
CA París;28872
Corredores de Apolo;28558
Guanacos;28125
Besaid Aurochs AT;26592
Jibiri Resurrection;26511
Hacksaws;24760
Dalmaria Athletics;24375
Athletic Club de Bilbao;23236
RUN FOR FREEDOM;22713
ÑiumÑium;22446
Barakaldo;20946
C.A. Rayo Vallecano;20083
Canyadó Atletisme;19879
Club Verde;18939
Cartoons TGN;18750
Elan Demars;18750
Dalt Vila;16630
Baetulo Athletarum;14601
Helmets;14167
Huelma Team;13146
Quemerford Harriers;12500
GatPact;12500
SLG Hakenfelde;12500
Ste-Gemmes;12500
CAT MONCLOA;9504
Munich Running Club;9375
Prairie State Track Club;7500
C.A Rastis;6920
deporama;6250
ATENEA;5276
Athletic Club Valdainois;4706
AE Badalonès;4656
C.A. Correcaminos;3925
Óbudai Torna Club;3438
AC Norteños;3072
C. A. Sendoa;2793
Candas;2206
Olympus;2083
Réunion Island Competition;1630
Prado luengo;1442
